Program Counter,Panda Current ASID,Process Name,Syscall Return Type,System Call Name,System Call Number
0xb7712424,3713a000,acpid,0,long,sys_restart_syscall(void);
0xb7712419,3713a000,acpid,175,long,"sys_rt_sigprocmask(int how, sigset_t __user *set,sigset_t __user *oset, size_t sigsetsize);"
0xb7712424,3713a000,acpid,0,long,sys_restart_syscall(void);
0xb7712419,3713a000,acpid,3,long,"sys_read(unsigned int fd, char __user *buf, size_t count);"
0xb7712424,3713a000,acpid,16,long,"sys_lchown16(const char __user *filename,old_uid_t user, old_gid_t group);"
0xb7712419,3713a000,acpid,142,long,"sys_select(int n, fd_set __user *inp, fd_set __user *outp,fd_set __user *exp, struct timeval __user *tvp);"
0xb779b424,34f7f000,init,0,long,sys_restart_syscall(void);
0xb779b419,34f7f000,init,13,long,sys_time(time_t __user *tloc);
0xb779b424,34f7f000,init,1488321036,error,error
0xb779b419,34f7f000,init,195,long,"sys_stat64(const char __user *filename,struct stat64 __user *statbuf);"
0xb779b424,34f7f000,init,0,long,sys_restart_syscall(void);
0xb779b419,34f7f000,init,197,long,"sys_fstat64(unsigned long fd, struct stat64 __user *statbuf);"
0xb779b424,34f7f000,init,0,long,sys_restart_syscall(void);
0xb779b419,34f7f000,init,195,long,"sys_stat64(const char __user *filename,struct stat64 __user *statbuf);"
0xb779b424,34f7f000,init,0,long,sys_restart_syscall(void);
0xb779b419,34f7f000,init,142,long,"sys_select(int n, fd_set __user *inp, fd_set __user *outp,fd_set __user *exp, struct timeval __user *tvp);"
